INDUSTRY, 22-Dec, 2022, 2021
Aerospace/Defense, 972, 15011, 17227
Apparel, 325, 2298, 116
Automotive, 5800, 39254, 23939
Chemical, 275, 2194, 546
Construction, 4082, 12719, 17336
Consumer_Products, 1072, 20584, 17666
Education, 465, 8884, 4532
Electronics, 170, 5183, 3904
Energy, 7254, 14958, 4109
Entertainment/Leisure, 906, 116770, 62752
Financial, 750, 22311, 22918
FinTech, 0, 5098, 4280
Food, 1835, 32984, 6755
Government, 2836, 125178, 122194
Health_Care/Products, 11006, 38304, 36908
Industrial_Goods, 4381, 24481, 20703
Insurance, 500, 1688, 2070
Legal, 0, 20, 30
Media, 0, 2360, 1227
Mining, 0, 1025, 850
Non-Profit, 153, 13983, 825
Pharmaceutical, 400, 7812, 2172
Real_Estate, 0, 5536, 3136
Retail, 1165, 728308, 882601
Services, 873, 25191, 120956
Technology, 1811, 55086, 90687
Telecommunications, 100, 7501, 3434
Transportation, 3030, 126262, 250798
Utility, 44, 574, 14818
Warehousing, 1488, 20807, 12928
TOTAL, 51693, 1482364, 1752417
